epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.041,1.25352,4.5646,1.48728,0.67075,0.06605,0.0946,0.06409,1.26524,4.61274,1.64262,0.000118179,0.000118179,0.000118179
2,983.069,1.24094,3.88917,1.47678,0.5356,0.19588,0.16215,0.09913,1.46263,4.32881,1.83276,0.000232483,0.000232483,0.000232483
3,1489.36,1.28753,3.36578,1.51006,0.79175,0.19106,0.22328,0.1307,1.36359,4.21416,1.78555,0.000342075,0.000342075,0.000342075
4,1998.71,1.27389,3.08534,1.49343,0.59581,0.25164,0.268,0.15749,1.49689,4.14936,1.8788,0.000335794,0.000335794,0.000335794
5,2579.46,1.25906,2.78517,1.47786,0.54823,0.29028,0.25454,0.15192,1.53629,3.94771,1.95345,0.000328726,0.000328726,0.000328726
6,3242.61,1.26814,2.72267,1.4964,0.55574,0.31276,0.29976,0.19375,1.39938,4.0664,1.84869,0.000321657,0.000321657,0.000321657
7,3855.69,1.21613,2.5594,1.45824,0.51144,0.35918,0.33839,0.21887,1.40733,3.78617,1.80955,0.000314588,0.000314588,0.000314588
8,4285.28,1.23383,2.42524,1.44864,0.50481,0.38762,0.42023,0.26643,1.41859,3.69245,1.79488,0.00030752,0.00030752,0.00030752
9,4620.82,1.19687,2.28468,1.41594,0.5048,0.44338,0.3936,0.25975,1.44873,3.77605,1.83338,0.000300451,0.000300451,0.000300451
10,4955.61,1.16805,2.198,1.38687,0.58557,0.35733,0.43267,0.29501,1.37566,3.64868,1.77949,0.000293383,0.000293383,0.000293383
11,5420.74,1.13903,2.12199,1.39816,0.45317,0.44643,0.44263,0.28393,1.42685,3.54227,1.82234,0.000286314,0.000286314,0.000286314
12,5946.54,1.11288,2.09275,1.38833,0.6225,0.36835,0.45242,0.30152,1.36773,3.65047,1.78398,0.000279245,0.000279245,0.000279245
13,6472.47,1.09425,2.01621,1.34633,0.54935,0.47318,0.46414,0.31687,1.38247,3.49135,1.77873,0.000272177,0.000272177,0.000272177
14,6981.32,1.08087,1.90742,1.33695,0.53288,0.46116,0.48344,0.33089,1.37125,3.45784,1.79411,0.000265108,0.000265108,0.000265108
15,7434.25,1.06343,1.8899,1.3336,0.51616,0.44142,0.45821,0.3134,1.38107,3.42546,1.77801,0.00025804,0.00025804,0.00025804
16,7944.3,1.0619,1.84516,1.33018,0.62873,0.39015,0.43687,0.30826,1.37436,3.46345,1.8065,0.000250971,0.000250971,0.000250971
17,8447.24,1.03422,1.75213,1.3049,0.56972,0.46725,0.47337,0.33115,1.33698,3.35758,1.75851,0.000243902,0.000243902,0.000243902
18,8953.18,1.00143,1.69748,1.28462,0.6711,0.42355,0.49578,0.35939,1.34346,3.29475,1.74865,0.000236834,0.000236834,0.000236834
19,9461.89,1.01751,1.66203,1.2778,0.52706,0.47772,0.46353,0.31248,1.37913,3.29691,1.80679,0.000229765,0.000229765,0.000229765
20,9980.04,1.01487,1.64886,1.2983,0.63426,0.43752,0.49015,0.34139,1.36114,3.24851,1.74677,0.000222697,0.000222697,0.000222697
21,10510.8,0.99548,1.58865,1.28487,0.58717,0.43512,0.50038,0.34221,1.374,3.2789,1.77231,0.000215628,0.000215628,0.000215628
22,11044.4,0.97654,1.56594,1.2702,0.56447,0.4658,0.46781,0.31177,1.34134,3.25041,1.75628,0.000208559,0.000208559,0.000208559
23,11574.4,0.97727,1.49406,1.25765,0.56668,0.48722,0.45892,0.30336,1.34885,3.17075,1.75431,0.000201491,0.000201491,0.000201491
24,12120.3,0.96781,1.48994,1.25294,0.59693,0.4264,0.49694,0.34344,1.3694,3.21641,1.77211,0.000194422,0.000194422,0.000194422
25,12659.3,0.93528,1.45205,1.25391,0.57822,0.46355,0.52997,0.38399,1.3524,3.15515,1.73891,0.000187354,0.000187354,0.000187354
26,13193.4,0.93104,1.38148,1.24129,0.61914,0.43712,0.52502,0.36759,1.35223,3.1625,1.74891,0.000180285,0.000180285,0.000180285
27,13730.5,0.94702,1.41475,1.24092,0.58776,0.46183,0.52817,0.37347,1.38808,3.18443,1.77021,0.000173216,0.000173216,0.000173216
28,14262.5,0.91051,1.33673,1.241,0.48684,0.45532,0.51358,0.36502,1.32148,3.20149,1.74774,0.000166148,0.000166148,0.000166148
29,14799.8,0.9086,1.37794,1.23259,0.57714,0.47012,0.50727,0.34914,1.33224,3.15886,1.72939,0.000159079,0.000159079,0.000159079
30,15334.6,0.89727,1.33106,1.20946,0.63164,0.46052,0.51557,0.35348,1.35556,3.12852,1.7612,0.000152011,0.000152011,0.000152011
31,15863.9,0.89449,1.26783,1.20853,0.62005,0.45108,0.50628,0.36159,1.34455,3.17963,1.74353,0.000144942,0.000144942,0.000144942
32,16397.8,0.85831,1.21907,1.18518,0.63603,0.44402,0.51971,0.35836,1.35692,3.08859,1.75829,0.000137873,0.000137873,0.000137873
33,16927,0.88815,1.20533,1.19924,0.62858,0.49309,0.54701,0.38687,1.38087,3.17473,1.78544,0.000130805,0.000130805,0.000130805
34,17462.4,0.86111,1.19132,1.19412,0.6886,0.45001,0.53499,0.3678,1.36304,3.13391,1.76972,0.000123736,0.000123736,0.000123736
35,17992.9,0.88111,1.20679,1.20517,0.63132,0.45317,0.54473,0.38045,1.3543,3.09657,1.76198,0.000116668,0.000116668,0.000116668
36,18526.5,0.86224,1.17189,1.18867,0.68921,0.45465,0.53667,0.376,1.36858,3.1296,1.77403,0.000109599,0.000109599,0.000109599
37,19054.4,0.85821,1.15673,1.18806,0.63043,0.46875,0.53355,0.37532,1.37184,3.14991,1.77585,0.00010253,0.00010253,0.00010253
38,19599.1,0.83165,1.14503,1.18343,0.599,0.49421,0.53519,0.37667,1.33916,3.05921,1.72609,9.54618e-05,9.54618e-05,9.54618e-05
39,20134.9,0.8266,1.11237,1.16986,0.62199,0.4725,0.53283,0.38248,1.33882,3.09871,1.73952,8.83932e-05,8.83932e-05,8.83932e-05
40,20673.6,0.8231,1.10281,1.15777,0.5773,0.50673,0.54379,0.38278,1.36142,3.12194,1.75161,8.13246e-05,8.13246e-05,8.13246e-05
41,21206.6,0.76797,1.16635,1.16303,0.56564,0.4763,0.53197,0.37054,1.38739,3.18252,1.78693,7.4256e-05,7.4256e-05,7.4256e-05
42,21740.8,0.73721,1.11661,1.13192,0.6504,0.46276,0.53004,0.37197,1.36199,3.07674,1.73863,6.71874e-05,6.71874e-05,6.71874e-05
43,22269.1,0.70202,1.04626,1.11261,0.62327,0.45739,0.52051,0.36919,1.34052,3.16452,1.73681,6.01188e-05,6.01188e-05,6.01188e-05
44,22800.4,0.72121,1.03288,1.11529,0.64031,0.45235,0.51877,0.36204,1.33453,3.16345,1.73427,5.30502e-05,5.30502e-05,5.30502e-05
45,23328.7,0.67981,0.98772,1.07868,0.63758,0.47198,0.53272,0.37088,1.36794,3.15235,1.76893,4.59816e-05,4.59816e-05,4.59816e-05
46,23862.5,0.68833,0.98883,1.09227,0.6096,0.48139,0.51322,0.36043,1.37471,3.13036,1.7712,3.8913e-05,3.8913e-05,3.8913e-05
47,24397.5,0.68061,0.97052,1.0868,0.64425,0.47073,0.51612,0.35968,1.35725,3.10663,1.75623,3.18444e-05,3.18444e-05,3.18444e-05
48,24928.8,0.67389,0.9577,1.0782,0.63711,0.49217,0.52196,0.36542,1.36503,3.08014,1.76177,2.47758e-05,2.47758e-05,2.47758e-05
49,25464.2,0.66243,0.92991,1.07564,0.63954,0.49282,0.51733,0.36034,1.36652,3.09745,1.76664,1.77072e-05,1.77072e-05,1.77072e-05
50,25997.1,0.66227,0.92777,1.07469,0.6125,0.50618,0.52379,0.36459,1.36025,3.07893,1.7545,1.06386e-05,1.06386e-05,1.06386e-05
