epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,547.176,1.13877,3.93723,1.43039,0.57887,0.16744,0.1981,0.12792,1.22134,4.37816,1.49713,0.000138727,0.000138727,0.000138727
2,1089.53,1.19699,2.9614,1.45771,0.60497,0.27949,0.29886,0.17808,1.31945,3.56272,1.66653,0.000277304,0.000277304,0.000277304
3,1629.89,1.20019,2.64966,1.46053,0.47713,0.36122,0.32663,0.20154,1.24514,3.1445,1.5846,0.000414188,0.000414188,0.000414188
4,2158.58,1.18496,2.40951,1.44931,0.56971,0.31987,0.31953,0.19943,1.27082,3.12122,1.61769,0.000411297,0.000411297,0.000411297
5,3111.5,1.14594,2.25691,1.42026,0.38487,0.39479,0.33442,0.20869,1.26518,3.19537,1.60994,0.000406897,0.000406897,0.000406897
6,4058.26,1.13138,2.13247,1.41935,0.53952,0.37595,0.38268,0.23812,1.32855,2.50144,1.66182,0.000401288,0.000401288,0.000401288
7,5034.81,1.12028,1.96948,1.39319,0.51143,0.43245,0.43168,0.27632,1.21478,2.45159,1.52542,0.000394502,0.000394502,0.000394502
8,6058.84,1.08753,1.86372,1.36887,0.65079,0.31907,0.39871,0.25815,1.27625,2.17224,1.64511,0.000386583,0.000386583,0.000386583
9,6831.36,1.08465,1.83742,1.37288,0.54856,0.41327,0.42261,0.27703,1.17234,2.17032,1.49942,0.000377578,0.000377578,0.000377578
10,7345.47,1.04833,1.71487,1.33738,0.64212,0.39458,0.43001,0.29133,1.21358,2.35651,1.56897,0.000367544,0.000367544,0.000367544
11,7876.94,1.02492,1.63633,1.32951,0.5179,0.40752,0.41177,0.27215,1.23731,2.11312,1.56063,0.000356542,0.000356542,0.000356542
12,8393.18,1.02166,1.59017,1.33456,0.47465,0.4964,0.43156,0.29769,1.16879,2.01948,1.53328,0.000344641,0.000344641,0.000344641
13,8913.01,0.9997,1.5018,1.31509,0.50111,0.48505,0.50242,0.32289,1.22323,2.13403,1.57534,0.000331913,0.000331913,0.000331913
14,9433.09,0.99328,1.46242,1.29416,0.61543,0.48522,0.53299,0.32453,1.20335,1.87428,1.58409,0.000318437,0.000318437,0.000318437
15,9954.34,0.96078,1.41531,1.27348,0.59546,0.47531,0.48846,0.32387,1.19558,1.87991,1.55317,0.000304295,0.000304295,0.000304295
16,10473.8,0.95362,1.33937,1.26853,0.71233,0.40852,0.49008,0.31854,1.179,1.93951,1.56286,0.000289577,0.000289577,0.000289577
17,10995.6,0.94373,1.32538,1.26838,0.60772,0.49476,0.51934,0.34876,1.19611,1.89282,1.52937,0.000274371,0.000274371,0.000274371
18,11515.7,0.90487,1.23389,1.23914,0.62489,0.48586,0.52213,0.33602,1.15869,1.95024,1.54212,0.000258772,0.000258772,0.000258772
19,12040.1,0.89755,1.20941,1.22441,0.58081,0.49274,0.52174,0.35756,1.10453,1.93666,1.48095,0.000242875,0.000242875,0.000242875
20,12558.8,0.87604,1.17549,1.21578,0.61671,0.51559,0.52731,0.35762,1.13097,1.74293,1.52393,0.00022678,0.00022678,0.00022678
21,13084.6,0.86343,1.13321,1.21466,0.60419,0.5197,0.56023,0.37809,1.0826,1.93568,1.44999,0.000210585,0.000210585,0.000210585
22,13603,0.8451,1.09873,1.20473,0.6582,0.52005,0.56567,0.38674,1.15133,1.79292,1.53327,0.00019439,0.00019439,0.00019439
23,14125.8,0.83695,1.08389,1.19502,0.65689,0.52707,0.55781,0.40909,1.11661,1.74713,1.5202,0.000178295,0.000178295,0.000178295
