epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.419,1.31748,4.5063,1.42233,0.74777,0.04722,0.10462,0.08233,1.08698,3.98251,1.22542,0.000118119,0.000118119,0.000118119
2,371.048,1.353,4.0028,1.38335,0.75314,0.20325,0.23746,0.15438,1.26864,3.38844,1.34863,0.000231374,0.000231374,0.000231374
3,551.392,1.39213,3.42438,1.41028,0.58282,0.31471,0.30598,0.20942,1.36128,3.86491,1.43167,0.000322452,0.000322452,0.000322452
4,756.574,1.39975,3.08714,1.42072,0.73164,0.2762,0.35188,0.24185,1.32825,3.29931,1.39366,0.000284155,0.000284155,0.000284155
5,999.732,1.36195,2.84802,1.38051,0.48377,0.40572,0.37786,0.26989,1.22479,3.1118,1.32406,0.000234893,0.000234893,0.000234893
6,1158.06,1.31706,2.63602,1.34206,0.67067,0.35402,0.4378,0.3147,1.17033,3.19894,1.27613,0.000180285,0.000180285,0.000180285
7,1345.73,1.2572,2.45556,1.31199,0.57399,0.39726,0.41986,0.29082,1.16952,2.77822,1.24302,0.000125677,0.000125677,0.000125677
8,1514.89,1.2032,2.29552,1.2649,0.72031,0.40274,0.4802,0.3428,1.13597,2.45768,1.22289,7.64145e-05,7.64145e-05,7.64145e-05
9,1656.25,1.18099,2.252,1.26078,0.69066,0.40768,0.48682,0.34893,1.11942,2.56064,1.22155,3.73196e-05,3.73196e-05,3.73196e-05
10,1765.66,1.13978,2.1513,1.22933,0.75621,0.39369,0.49968,0.35768,1.11963,2.44019,1.22188,1.2219e-05,1.2219e-05,1.2219e-05
